anio,mes,multilateral,usd,real,peso_chileno,euro,libra_esterlina,guarani,nuevo_shekel,peso_mexicano,peso_uruguayo
2007,Noviembre,240.3806737,183.3844885,288.870806,229.6580014,293.9545602,245.1198963,248.9104631,196.9395191,165.555066,180.2741383
2007,Diciembre,240.2125358,181.564832,291.3961399,235.6630423,291.0906809,235.5999087,248.3153567,195.1882343,165.3753321,181.6339794
2008,Enero,241.8349338,181.0120544,289.5039338,250.4803601,288.7615601,231.5449108,253.5897841,204.4382454,165.4495853,186.4597593
2008,Febrero,247.540826,180.9851629,308.2879909,252.1834193,295.6754607,231.7283291,259.9185115,205.0364513,167.7887001,187.7976124
2008,Marzo,251.3594327,180.4206581,294.7080745,263.725249,308.0992536,231.115767,273.9711893,208.3031344,167.2692547,191.1340613
2008,Abril,252.7871767,181.0180536,303.3135564,254.8073493,304.6506332,230.8988193,294.2457492,214.5431723,170.1400901,199.260712
2008,Mayo,245.5716165,177.2291044,307.5200894,237.9880451,295.8194448,224.9289447,274.6054894,224.0116242,167.4686384,187.732569
2008,Junio,242.6841736,173.5537003,307.3089795,218.8541776,292.9665565,221.6585989,291.2486892,209.3360035,164.0560936,194.6695571
2008,Julio,243.5664198,173.9588147,315.2127591,225.1594423,287.8554917,219.3583652,287.8619241,204.9335331,168.2490862,195.5636723
2008,Agosto,234.8118805,172.1902307,301.7771378,222.234668,268.9745452,201.788463,286.8341642,198.9206875,164.4404737,198.4755627
2008,Septiembre,229.7261169,176.9351161,266.8103053,214.5898476,272.9397745,208.3075354,292.9957405,212.3772975,161.3351411,189.4703605
2008,Octubre,221.7871454,187.9642244,258.1740967,190.556003,264.9036843,202.1541293,273.1103117,210.9338515,148.2782226,185.5555634
2008,Noviembre,216.1487481,186.731188,241.5568,196.4968858,259.4972731,190.8766317,257.2318023,202.2965777,144.2520774,180.3516349
2008,Diciembre,224.6383058,185.9904,238.8564513,204.6750753,289.7129312,180.2293313,260.7840365,210.9568978,143.8300111,178.5374029
2009,Enero,222.1973073,187.9359653,248.8271525,211.2637444,268.3228746,176.9188584,254.4456524,188.299461,140.6750279,194.9817637
